Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long,Date
,Finland,2020-03-01T23:23:02,6,0,1,64.0,26.0,03-02-2020
,Iceland,2020-03-02T22:33:09,6,0,0,64.9631,-19.0208,03-02-2020
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0,03-02-2020
,India,2020-03-02T22:33:09,5,0,3,21.0,78.0,03-02-2020
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0,03-02-2020
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018,03-02-2020
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451,03-02-2020
"Cook County, IL",US,2020-03-02T20:33:02,4,0,2,41.7377,-87.6976,03-02-2020
"Snohomish County, WA",US,2020-03-02T20:53:02,4,1,0,48.033,-121.8339,03-02-2020
,Algeria,2020-03-02T00:53:03,3,0,0,28.0339,1.6596,03-02-2020
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007,03-02-2020
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769,03-02-2020
,Czech Republic,2020-03-02T16:33:02,3,0,0,49.8175,15.473,03-02-2020
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569,03-02-2020
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0,03-02-2020
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839,03-02-2020
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668,03-02-2020
,Russia,2020-03-02T21:23:04,3,0,2,60.0,90.0,03-02-2020
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605,03-02-2020
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253,03-02-2020
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0,03-02-2020
,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213,03-02-2020
,Portugal,2020-03-02T22:43:02,2,0,0,39.3999,-8.2245,03-02-2020
"Portland, OR",US,2020-03-02T03:33:08,2,0,0,45.5051,-122.675,03-02-2020
"Providence, RI",US,2020-03-02T03:43:02,2,0,0,41.824,-71.4128,03-02-2020
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,03-02-2020
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,03-02-2020
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611,03-02-2020
,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0,65.0,03-02-2020
,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218,03-02-2020
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,03-02-2020
Tasmania,Australia,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707,03-02-2020
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534,03-02-2020
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167,03-02-2020
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673,03-02-2020
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,03-02-2020
,Dominican Republic,2020-03-02T16:33:02,1,0,0,18.7357,-70.1627,03-02-2020
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136,03-02-2020
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921,03-02-2020
,Latvia,2020-03-02T20:13:49,1,0,0,56.8796,24.6032,03-02-2020
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,03-02-2020
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296,03-02-2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,03-02-2020
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,03-02-2020
,Morocco,2020-03-02T22:33:09,1,0,0,31.7917,-7.0926,03-02-2020
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,03-02-2020
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886,03-02-2020
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,03-02-2020
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,03-02-2020
,Saudi Arabia,2020-03-02T23:53:02,1,0,0,24.0,45.0,03-02-2020
,Senegal,2020-03-02T20:23:16,1,0,0,14.4974,-14.4524,03-02-2020
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,03-02-2020
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,03-02-2020
"Grafton County, NH",US,2020-03-02T20:33:02,1,0,0,43.9088,-71.826,03-02-2020
"Hillsborough, FL",US,2020-03-02T03:13:25,1,0,0,27.9904,-82.3018,03-02-2020
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695,03-02-2020
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437,03-02-2020
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012,03-02-2020
"New York City, NY",US,2020-03-02T01:53:03,1,0,0,40.7128,-74.006,03-02-2020
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531,03-02-2020
"Placer County, CA",US,2020-03-02T23:53:02,1,0,0,39.0916,-120.8039,03-02-2020
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936,03-02-2020
"San Mateo, CA",US,2020-03-02T20:43:02,1,0,0,37.563,-122.3255,03-02-2020
"Sarasota, FL",US,2020-03-02T03:23:06,1,0,0,27.3364,-82.5307,03-02-2020
"Sonoma County, CA",US,2020-03-02T20:53:02,1,0,0,38.578,-122.9888,03-02-2020
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94,03-02-2020
"Umatilla, OR",US,2020-03-02T20:23:16,1,0,0,45.775,-118.7606,03-02-2020
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,03-02-2020
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134,03-02-2020
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758,03-02-2020
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399,03-02-2020
