Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long,Date
Inner Mongolia,Mainland China,2020-03-01T10:03:03,75,0,52,44.0935,113.9448,03-01-2020
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655,03-01-2020
,Bahrain,2020-03-01T23:33:03,47,0,0,26.0275,50.55,03-01-2020
,Kuwait,2020-02-28T16:23:03,45,0,0,29.5,47.75,03-01-2020
Unassigned Location (From Diamond Princess),US,2020-02-28T20:03:03,44,0,0,35.4437,139.638,03-01-2020
,Thailand,2020-03-01T07:13:07,42,1,28,15.0,101.0,03-01-2020
Taiwan,Taiwan,2020-03-01T07:43:01,40,1,9,23.7,121.0,03-01-2020
,UK,2020-03-01T23:23:02,36,0,8,55.0,-3.0,03-01-2020
,Malaysia,2020-03-01T12:53:02,29,0,18,2.5,112.5,03-01-2020
,Switzerland,2020-03-01T23:23:02,27,0,0,46.8182,8.2275,03-01-2020
,United Arab Emirates,2020-02-29T12:33:03,21,0,5,24.0,54.0,03-01-2020
,Iraq,2020-03-01T16:43:02,19,0,0,33.0,44.0,03-01-2020
,Norway,2020-03-01T20:43:02,19,0,0,60.472,8.4689,03-01-2020
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956,03-01-2020
,Vietnam,2020-02-25T08:53:02,16,0,16,16.0,108.0,03-01-2020
,Austria,2020-03-01T23:33:03,14,0,0,47.5162,14.5501,03-01-2020
"Toronto, ON",Canada,2020-03-01T23:33:03,14,0,2,43.6532,-79.3832,03-01-2020
,Sweden,2020-03-01T23:23:02,14,0,0,63.0,16.0,03-01-2020
,Israel,2020-03-01T23:23:02,10,0,1,31.0,35.0,03-01-2020
,Lebanon,2020-03-01T15:33:03,10,0,0,33.8547,35.8623,03-01-2020
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55,03-01-2020
,Netherlands,2020-03-01T15:33:03,10,0,0,52.1326,5.2913,03-01-2020
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4,03-01-2020
"Seattle, WA",US,2020-03-01T21:13:12,9,1,1,47.6062,-122.3321,03-01-2020
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207,03-01-2020
Victoria,Australia,2020-02-29T02:03:10,7,0,4,-37.8136,144.9631,03-01-2020
,Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2,03-01-2020
,Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243,03-01-2020
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093,03-01-2020
,Ecuador,2020-03-01T23:33:03,6,0,0,-1.8312,-78.1834,03-01-2020
,Finland,2020-03-01T23:23:02,6,0,1,64.0,26.0,03-01-2020
,Oman,2020-02-29T12:33:03,6,0,1,21.0,57.0,03-01-2020
,Mexico,2020-03-01T23:33:03,5,0,0,23.0,-102.0,03-01-2020
,Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018,03-01-2020
,Pakistan,2020-02-29T18:03:05,4,0,0,30.3753,69.3451,03-01-2020
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007,03-01-2020
,Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769,03-01-2020
,Czech Republic,2020-03-01T15:53:06,3,0,0,49.8175,15.473,03-01-2020
,Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569,03-01-2020
,Iceland,2020-03-01T23:33:03,3,0,0,64.9631,-19.0208,03-01-2020
,India,2020-02-16T07:43:02,3,0,3,21.0,78.0,03-01-2020
,Philippines,2020-02-12T07:43:02,3,1,1,13.0,122.0,03-01-2020
,Qatar,2020-03-01T23:33:03,3,0,0,25.3548,51.1839,03-01-2020
,Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668,03-01-2020
"Chicago, IL",US,2020-03-01T03:53:02,3,0,2,41.8781,-87.6298,03-01-2020
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,37.3541,-121.9552,03-01-2020
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605,03-01-2020
,Belgium,2020-03-01T12:43:02,2,0,1,50.8333,4.0,03-01-2020
,Brazil,2020-02-29T21:03:05,2,0,0,-14.235,-51.9253,03-01-2020
,Egypt,2020-03-01T23:33:03,2,0,1,26.0,30.0,03-01-2020
,Russia,2020-02-12T14:43:03,2,0,2,60.0,90.0,03-01-2020
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542,03-01-2020
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876,03-01-2020
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611,03-01-2020
"Snohomish County, WA",US,2020-03-01T20:23:06,2,0,0,48.033,-121.8339,03-01-2020
,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0,65.0,03-01-2020
,Algeria,2020-02-25T23:43:03,1,0,0,28.0339,1.6596,03-01-2020
,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382,03-01-2020
,Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534,03-01-2020
,Cambodia,2020-02-12T07:43:02,1,0,1,11.55,104.9167,03-01-2020
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673,03-01-2020
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453,03-01-2020
,Dominican Republic,2020-03-01T16:03:06,1,0,0,18.7357,-70.1627,03-01-2020
,Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136,03-01-2020
,Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921,03-01-2020
,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813,03-01-2020
,Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296,03-01-2020
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924,03-01-2020
,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167,03-01-2020
,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.25,03-01-2020
,New Zealand,2020-02-28T16:23:03,1,0,0,-40.9006,174.886,03-01-2020
,Nigeria,2020-02-28T16:23:03,1,0,0,9.082,8.6753,03-01-2020
,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453,03-01-2020
,San Marino,2020-03-01T07:13:07,1,0,0,43.9424,12.4578,03-01-2020
,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0,81.0,03-01-2020
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589,03-01-2020
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695,03-01-2020
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437,03-01-2020
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012,03-01-2020
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531,03-01-2020
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,45.5051,-122.675,03-01-2020
"Providence, RI",US,2020-03-01T15:33:03,1,0,0,41.824,-71.4128,03-01-2020
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936,03-01-2020
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94,03-01-2020
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638,03-01-2020
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134,03-01-2020
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758,03-01-2020
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399,03-01-2020
